Row Labels,Sum of Sales
24-08-2015,8.288
CA-2015-106726,1261.33
06-12-2015,1261.33
CA-2015-106803,144.36
29-12-2015,144.36
CA-2015-106810,310.88
14-05-2015,310.88
CA-2015-106971,475.944
02-09-2015,475.944
CA-2015-107139,180.96
05-07-2015,180.96
CA-2015-107153,46.26
28-09-2015,46.26
CA-2015-107181,117.136
04-02-2015,117.136
CA-2015-107398,30.246
25-08-2015,30.246
CA-2015-107454,124.2
02-11-2015,124.2
CA-2015-107524,47.76
02-03-2015,47.76
CA-2015-107573,23.472
12-12-2015,23.472
CA-2015-107594,79.56
02-07-2015,79.56
CA-2015-107706,16.176
14-02-2015,16.176
CA-2015-107755,115.36
07-02-2015,115.36
CA-2015-107769,257.98
28-10-2015,257.98
CA-2015-107811,661.504
29-04-2015,661.504
CA-2015-107818,1771.52
08-09-2015,1771.52
CA-2015-107916,25.952
24-08-2015,25.952
CA-2015-108147,1745.36
08-06-2015,1745.36
CA-2015-108182,8.952
06-02-2015,8.952
CA-2015-108189,598.144
02-10-2015,598.144
CA-2015-108273,92.856
16-12-2015,92.856
CA-2015-108609,1421.664
31-10-2015,1421.664
CA-2015-108707,10.368
24-10-2015,10.368
CA-2015-108861,136.96
28-05-2015,136.96
CA-2015-108903,212.952
03-10-2015,212.952
CA-2015-109043,243.6
15-08-2015,243.6
CA-2015-109127,17.28
21-12-2015,17.28
CA-2015-109134,20.04
05-11-2015,20.04
CA-2015-109218,32.4
30-06-2015,32.4
CA-2015-109232,545.94
13-01-2015,545.94
CA-2015-109302,196.21
12-08-2015,196.21
CA-2015-109491,82.63
20-02-2015,82.63
CA-2015-109680,386.34
06-10-2015,386.34
CA-2015-109855,380.744
01-09-2015,380.744
CA-2015-109890,35.98
21-07-2015,35.98
CA-2015-109897,891.776
12-08-2015,891.776
CA-2015-109904,17.94
14-07-2015,17.94
CA-2015-109918,131.84
07-09-2015,131.84
CA-2015-109932,247.784
09-12-2015,247.784
CA-2015-110030,23.976
06-12-2015,23.976
CA-2015-110065,151.95
05-08-2015,151.95
CA-2015-110072,93.888
22-10-2015,93.888
CA-2015-110100,302.376
25-04-2015,302.376
CA-2015-110184,505.686
12-07-2015,505.686
CA-2015-110219,127.869
05-05-2015,127.869
CA-2015-110352,23.68
23-11-2015,23.68
CA-2015-110408,2216.8
18-10-2015,2216.8
CA-2015-110527,20.88
09-08-2015,20.88
CA-2015-110555,410.104
11-04-2015,410.104
CA-2015-110611,83.92
06-10-2015,83.92
CA-2015-110639,71.84
23-08-2015,71.84
CA-2015-110786,1365.63
29-12-2015,1365.63
CA-2015-110849,323.458
18-04-2015,323.458
CA-2015-111003,334.68
01-06-2015,334.68
CA-2015-111059,97.112
03-02-2015,97.112
CA-2015-111150,77.21
31-12-2015,77.21
CA-2015-111192,1367.84
30-07-2015,1367.84
CA-2015-111451,855.272
26-12-2015,855.272
CA-2015-111500,484.79
17-08-2015,484.79
CA-2015-111773,13.92
29-06-2015,13.92
CA-2015-111857,48.91
23-04-2015,48.91
CA-2015-111871,1198.33
18-03-2015,1198.33
CA-2015-111899,43.312
04-05-2015,43.312
CA-2015-111934,47.32
05-05-2015,47.32
CA-2015-111962,817.798
29-09-2015,817.798
CA-2015-112158,1050.6
02-12-2015,1050.6
CA-2015-112326,288.06
04-01-2015,288.06
CA-2015-112403,0.852
31-03-2015,0.852
CA-2015-112718,1.167
16-12-2015,1.167
CA-2015-112837,127.95
11-09-2015,127.95
CA-2015-112851,182.94
17-09-2015,182.94
CA-2015-113047,11.85
24-10-2015,11.85
CA-2015-113166,9.568
24-12-2015,9.568
CA-2015-113271,172.097
09-07-2015,172.097
CA-2015-113320,30.72
12-12-2015,30.72
CA-2015-113362,460.22
14-09-2015,460.22
CA-2015-113383,336.82
10-09-2015,336.82
CA-2015-113579,90.24
13-12-2015,90.24
CA-2015-113768,287.456
13-05-2015,287.456
CA-2015-113859,340.116
13-09-2015,340.116
CA-2015-113880,651.588
01-03-2015,651.588
CA-2015-113887,55.48
05-04-2015,55.48
CA-2015-113929,115.952
16-06-2015,115.952
CA-2015-113964,18.464
23-09-2015,18.464
CA-2015-114125,68.704
09-07-2015,68.704
CA-2015-114181,372.285
10-05-2015,372.285
CA-2015-114251,1476.834
05-11-2015,1476.834
CA-2015-114314,16.23
11-10-2015,16.23
CA-2015-114321,1417.35
20-08-2015,1417.35
CA-2015-114335,337.088
28-09-2015,337.088
CA-2015-114433,149.97
13-05-2015,149.97
CA-2015-114510,280.276
14-03-2015,280.276
CA-2015-114517,109.836
23-12-2015,109.836
CA-2015-114643,14.52
13-06-2015,14.52
CA-2015-114790,782.63
11-03-2015,782.63
CA-2015-115056,26.136
02-05-2015,26.136
CA-2015-115084,605.34
18-10-2015,605.34
CA-2015-115133,52.752
26-09-2015,52.752
CA-2015-115161,290.666
31-01-2015,290.666
CA-2015-115259,199.256
25-08-2015,199.256
CA-2015-115336,14.48
18-11-2015,14.48
CA-2015-115357,62.91
06-08-2015,62.91
CA-2015-115791,299.964
16-01-2015,299.964
CA-2015-115812,3714.304
09-06-2015,3714.304
CA-2015-115889,409.304
02-11-2015,409.304
CA-2015-115973,2.624
24-11-2015,2.624
CA-2015-115980,9.51
15-07-2015,9.51
CA-2015-116190,256.48
26-07-2015,256.48
CA-2015-116239,354.9
04-03-2015,354.9
CA-2015-116246,3785.292
12-09-2015,3785.292
CA-2015-116407,362.176
15-11-2015,362.176
CA-2015-116568,186.304
14-12-2015,186.304
CA-2015-116666,1799.97
08-05-2015,1799.97
CA-2015-116673,6.16
15-12-2015,6.16
CA-2015-116757,47.232
30-06-2015,47.232
CA-2015-116785,34
26-04-2015,34
CA-2015-116834,408.47
11-10-2015,408.47
CA-2015-116904,9900.19
23-09-2015,9900.19
CA-2015-116932,1173.616
21-07-2015,1173.616
CA-2015-117016,15.552
04-03-2015,15.552
CA-2015-117317,13.44
19-10-2015,13.44
CA-2015-117345,202.896
01-08-2015,202.896
CA-2015-117429,129.92
07-10-2015,129.92
CA-2015-117464,1136.092
22-07-2015,1136.092
CA-2015-117478,6.57
21-09-2015,6.57
CA-2015-117639,3333.9
21-05-2015,3333.9
CA-2015-117709,46.8
04-05-2015,46.8
CA-2015-117765,643.78
07-09-2015,643.78
CA-2015-118192,40.846
13-01-2015,40.846
CA-2015-118276,8.736
29-12-2015,8.736
CA-2015-118304,19.98
29-04-2015,19.98
CA-2015-118339,249.92
17-03-2015,249.92
CA-2015-118962,472.044
05-08-2015,472.044
CA-2015-118976,526.96
28-04-2015,526.96
CA-2015-119032,3.76
27-11-2015,3.76
CA-2015-119144,730.8525
16-11-2015,730.8525
CA-2015-119151,1393.872
25-11-2015,1393.872
CA-2015-119172,122.052
11-05-2015,122.052
CA-2015-119375,3116.49
17-11-2015,3116.49
CA-2015-119466,8.544
15-12-2015,8.544
CA-2015-119529,5.76
03-11-2015,5.76
CA-2015-119977,123.92
08-10-2015,123.92
CA-2015-120096,209.968
04-07-2015,209.968
CA-2015-120243,11.56
27-12-2015,11.56
CA-2015-120278,317.48
07-11-2015,317.48
CA-2015-120411,504.55
20-09-2015,504.55
CA-2015-120432,25.5
24-08-2015,25.5
CA-2015-120474,2854.48
01-12-2015,2854.48
CA-2015-120544,46.088
23-11-2015,46.088
CA-2015-120670,799.92
02-11-2015,799.92
CA-2015-120768,1979.89
19-12-2015,1979.89
CA-2015-120775,57.908
03-10-2015,57.908
CA-2015-120838,935.152
23-03-2015,935.152
CA-2015-120852,84.872
20-12-2015,84.872
CA-2015-120887,87.54
27-09-2015,87.54
CA-2015-121006,1194.87
10-11-2015,1194.87
CA-2015-121167,17.248
28-11-2015,17.248
CA-2015-121286,66.616
04-11-2015,66.616
CA-2015-121573,840.712
03-11-2015,840.712
CA-2015-121629,998.85
28-11-2015,998.85
CA-2015-121664,140.736
06-05-2015,140.736
CA-2015-121727,10.72
19-08-2015,10.72
CA-2015-121762,560.55
14-02-2015,560.55
CA-2015-121769,172.11
08-04-2015,172.11
CA-2015-122070,257.752
22-04-2015,257.752
CA-2015-122217,111.15
24-11-2015,111.15
CA-2015-122336,630.746
13-04-2015,630.746
CA-2015-122567,9.04
16-02-2015,9.04
CA-2015-122588,52.96
25-11-2015,52.96
CA-2015-122679,19.68
22-07-2015,19.68
CA-2015-122749,479.96
03-12-2015,479.96
CA-2015-122882,539.074
07-09-2015,539.074
CA-2015-122931,2358.672
29-09-2015,2358.672
CA-2015-123064,5.248
30-06-2015,5.248
CA-2015-123127,16.78
08-09-2015,16.78
CA-2015-123225,586.336
11-07-2015,586.336
CA-2015-123253,3.912
22-08-2015,3.912
CA-2015-123260,176.8
26-08-2015,176.8
CA-2015-123295,259.136
18-07-2015,259.136
CA-2015-123316,7.752
13-10-2015,7.752
CA-2015-123323,123.144
07-11-2015,123.144
CA-2015-123344,211.96
24-09-2015,211.96
CA-2015-123400,199.296
02-02-2015,199.296
CA-2015-123477,64.864
18-01-2015,64.864
CA-2015-123498,100.398
07-11-2015,100.398
CA-2015-123855,139.8
18-06-2015,139.8
CA-2015-123925,40.05
17-12-2015,40.05
CA-2015-124023,8.96
07-04-2015,8.96
CA-2015-124079,93.174
13-12-2015,93.174
CA-2015-124247,1403.92
16-12-2015,1403.92
CA-2015-124394,130.756
17-10-2015,130.756
CA-2015-124429,926.44
27-05-2015,926.44
CA-2015-124464,39.48
14-07-2015,39.48
CA-2015-124478,1109.725
08-08-2015,1109.725
CA-2015-124513,66.03
21-09-2015,66.03
CA-2015-124618,479.984
02-05-2015,479.984
CA-2015-124646,663.75
22-06-2015,663.75
CA-2015-124688,1812.01
27-08-2015,1812.01
CA-2015-124702,867.74
18-11-2015,867.74
CA-2015-124709,238
27-07-2015,238
CA-2015-124723,489.23
05-08-2015,489.23
CA-2015-124730,414.63
26-11-2015,414.63
CA-2015-124737,424.376
23-08-2015,424.376
CA-2015-124807,59.696
12-07-2015,59.696
CA-2015-124856,1609.32
29-09-2015,1609.32
CA-2015-125136,106.944
28-09-2015,106.944
CA-2015-125150,232.88
16-05-2015,232.88
CA-2015-125171,14.4
03-09-2015,14.4
CA-2015-125514,68.71
21-09-2015,68.71
CA-2015-125542,521.224
05-12-2015,521.224
CA-2015-125556,876.73
14-11-2015,876.73
CA-2015-125612,163.62
03-08-2015,163.62
CA-2015-125682,9.96
22-11-2015,9.96
CA-2015-125731,1508.768
10-09-2015,1508.768
CA-2015-125759,14.56
08-02-2015,14.56
CA-2015-125829,1729.416
04-11-2015,1729.416
CA-2015-125997,3519.37
20-09-2015,3519.37
CA-2015-126032,86.376
23-06-2015,86.376
CA-2015-126193,321.978
07-09-2015,321.978
CA-2015-126200,38.064
25-08-2015,38.064
CA-2015-126277,2.502
13-09-2015,2.502
CA-2015-126333,5.184
23-12-2015,5.184
CA-2015-126361,2126.034
04-08-2015,2126.034
CA-2015-126403,2304.37
09-09-2015,2304.37
CA-2015-126480,8.56
20-09-2015,8.56
CA-2015-126522,53.94
01-09-2015,53.94
CA-2015-126683,2354.98
29-09-2015,2354.98
CA-2015-126760,1891.316
26-07-2015,1891.316
CA-2015-126802,38.976
29-12-2015,38.976
CA-2015-126907,15.696
01-11-2015,15.696
CA-2015-126963,36.544
15-06-2015,36.544
CA-2015-127012,76.28
11-08-2015,76.28
CA-2015-127131,721.476
24-11-2015,721.476
CA-2015-127159,34.79
12-05-2015,34.79
CA-2015-127166,186.908
21-05-2015,186.908
CA-2015-127187,129.98
04-12-2015,129.98
CA-2015-127299,2692.329
19-09-2015,2692.329
CA-2015-127383,49.568
31-12-2015,49.568
CA-2015-127446,1273.623
25-11-2015,1273.623
CA-2015-127488,4.608
22-09-2015,4.608
CA-2015-127523,35.91
11-05-2015,35.91
CA-2015-127558,803.04
15-11-2015,803.04
CA-2015-127586,310.12
26-09-2015,310.12
CA-2015-127614,1508.13
11-02-2015,1508.13
CA-2015-127691,165.94
22-07-2015,165.94
CA-2015-127859,126.624
17-03-2015,126.624
CA-2015-127866,602.43
20-07-2015,602.43
CA-2015-127936,21.24
02-09-2015,21.24
CA-2015-127964,161.07
03-03-2015,161.07
CA-2015-128055,726.548
31-03-2015,726.548
CA-2015-128062,5.88
19-11-2015,5.88
CA-2015-128146,1326.69
21-06-2015,1326.69
CA-2015-128209,6160.616
17-11-2015,6160.616
CA-2015-128237,92.36
25-03-2015,92.36
CA-2015-128524,2158.694
11-11-2015,2158.694
CA-2015-128538,7.64
11-10-2015,7.64
CA-2015-128622,10.95
15-11-2015,10.95
CA-2015-128839,254.97
08-09-2015,254.97
CA-2015-128846,752.92
07-04-2015,752.92
CA-2015-128888,604.656
15-11-2015,604.656
CA-2015-128986,93.024
03-08-2015,93.024
CA-2015-129091,1022.61
22-11-2015,1022.61
CA-2015-129147,609.438
02-11-2015,609.438
CA-2015-129168,15.552
17-08-2015,15.552
CA-2015-129189,751.886
21-07-2015,751.886
CA-2015-129364,265.784
08-12-2015,265.784
CA-2015-129574,48.4
26-05-2015,48.4
CA-2015-129819,12.39
13-12-2015,12.39
CA-2015-129924,706.064
12-07-2015,706.064
CA-2015-129938,445.802
15-12-2015,445.802
CA-2015-130092,9.94
11-01-2015,9.94
CA-2015-130155,34.2
19-05-2015,34.2
CA-2015-130274,21.56
03-05-2015,21.56
CA-2015-130421,176.772
03-03-2015,176.772
CA-2015-130428,1142.165
31-03-2015,1142.165
CA-2015-130449,100.36
06-09-2015,100.36
CA-2015-130575,9.264
14-12-2015,9.264
CA-2015-130624,697.32
21-06-2015,697.32
CA-2015-130673,108.444
20-05-2015,108.444
CA-2015-130729,34.272
24-10-2015,34.272
CA-2015-130813,19.44
06-01-2015,19.44
CA-2015-130869,7.08
17-11-2015,7.08
CA-2015-130918,7.632
22-08-2015,7.632
CA-2015-130960,9.84
30-12-2015,9.84
CA-2015-131002,1040.19
07-09-2015,1040.19
CA-2015-131009,574.194
01-03-2015,574.194
CA-2015-131051,58.2
01-12-2015,58.2
CA-2015-131247,205.666
30-03-2015,205.666
CA-2015-131310,134.4
12-07-2015,134.4
CA-2015-131387,1679.96
28-04-2015,1679.96
CA-2015-131450,2049.816
08-08-2015,2049.816
CA-2015-131527,95.968
01-12-2015,95.968
CA-2015-131541,193.152
28-07-2015,193.152
CA-2015-131800,158.388
30-12-2015,158.388
CA-2015-131905,321.56
06-02-2015,321.56
CA-2015-131926,3745.63
01-06-2015,3745.63
CA-2015-131947,318.293
17-09-2015,318.293
CA-2015-132010,389.74
13-10-2015,389.74
CA-2015-132227,52.064
04-11-2015,52.064
CA-2015-132451,604.992
26-09-2015,604.992
CA-2015-132500,49.98
08-09-2015,49.98
CA-2015-132542,15.36
06-10-2015,15.36
CA-2015-132612,1441.3
09-06-2015,1441.3
CA-2015-132787,92.52
19-09-2015,92.52
CA-2015-132801,107.44
07-10-2015,107.44
CA-2015-132864,119.8
02-12-2015,119.8
CA-2015-132913,13.97
24-12-2015,13.97
CA-2015-132962,267.552
13-09-2015,267.552
CA-2015-132983,159.98
28-04-2015,159.98
CA-2015-133158,358.696
19-08-2015,358.696
CA-2015-133228,84.83
04-04-2015,84.83
CA-2015-133270,13.36
06-06-2015,13.36
CA-2015-133305,67.4
11-07-2015,67.4
CA-2015-133354,19.44
22-02-2015,19.44
CA-2015-133389,8.226
22-06-2015,8.226
CA-2015-133424,60.24
30-03-2015,60.24
CA-2015-133543,11.76
22-12-2015,11.76
CA-2015-133592,2846.22
31-12-2015,2846.22
CA-2015-133634,47.79
05-11-2015,47.79
CA-2015-133690,221.35
03-08-2015,221.35
CA-2015-133704,64.152
20-09-2015,64.152
CA-2015-133753,142.344
09-06-2015,142.344
CA-2015-133809,21.396
18-11-2015,21.396
CA-2015-133830,90.58
05-12-2015,90.58
CA-2015-133851,30.46
09-06-2015,30.46
CA-2015-134061,17.46
29-04-2015,17.46
CA-2015-134103,240.5
30-01-2015,240.5
CA-2015-134215,617.12
04-08-2015,617.12
CA-2015-134278,559.992
06-07-2015,559.992
CA-2015-134313,2027.144
01-11-2015,2027.144
CA-2015-134551,732.312
20-12-2015,732.312
CA-2015-134572,1190.53
20-04-2015,1190.53
CA-2015-134621,18.24
21-12-2015,18.24
CA-2015-134677,9.09
06-10-2015,9.09
CA-2015-134726,94.732
02-11-2015,94.732
CA-2015-135090,53.82
22-11-2015,53.82
CA-2015-135405,40.544
09-01-2015,40.544
CA-2015-135608,649.6
08-12-2015,649.6
CA-2015-135657,515.88
03-06-2015,515.88
CA-2015-135699,123.28
29-08-2015,123.28
CA-2015-135755,51.072
03-05-2015,51.072
CA-2015-135993,85.008
28-05-2015,85.008
CA-2015-136280,5.04
29-11-2015,5.04
CA-2015-136336,828.84
21-04-2015,828.84
CA-2015-136399,1308.196
16-12-2015,1308.196
CA-2015-136567,2884.37
20-12-2015,2884.37
CA-2015-136644,647.84
16-06-2015,647.84
CA-2015-136742,44.91
06-04-2015,44.91
CA-2015-136861,31.984
05-09-2015,31.984
CA-2015-137092,862.202
20-10-2015,862.202
CA-2015-137274,890.841
29-03-2015,890.841
CA-2015-137351,43.176
30-09-2015,43.176
CA-2015-137575,199.98
06-08-2015,199.98
CA-2015-137589,286.344
03-11-2015,286.344
CA-2015-137911,88.768
09-10-2015,88.768
CA-2015-138023,30.96
15-08-2015,30.96
CA-2015-138072,27.968
30-12-2015,27.968
CA-2015-138100,29.5
15-09-2015,29.5
CA-2015-138128,1110.648
09-12-2015,1110.648
CA-2015-138177,73.915
19-09-2015,73.915
CA-2015-138198,13.904
18-07-2015,13.904
CA-2015-138240,160.592
09-10-2015,160.592
CA-2015-138296,24.56
05-12-2015,24.56
CA-2015-138317,385.261
21-06-2015,385.261
CA-2015-138359,73.2
01-04-2015,73.2
CA-2015-138436,66.3
26-03-2015,66.3
CA-2015-138450,249.472
18-10-2015,249.472
CA-2015-138513,12.96
23-05-2015,12.96
CA-2015-138527,192.424
12-09-2015,192.424
CA-2015-138681,596.664
20-12-2015,596.664
CA-2015-138709,37.44
04-07-2015,37.44
CA-2015-138737,8.64
07-12-2015,8.64
CA-2015-138940,758.352
11-04-2015,758.352
CA-2015-139017,46.864
11-05-2015,46.864
CA-2015-139192,1213.494
27-05-2015,1213.494
CA-2015-139283,14.67
23-11-2015,14.67
CA-2015-139423,76.12
01-11-2015,76.12
CA-2015-139451,36.29
12-10-2015,36.29
CA-2015-139542,54.474
25-10-2015,54.474
CA-2015-139598,361.608
26-12-2015,361.608
CA-2015-139633,5.484
17-12-2015,5.484
CA-2015-139857,12.35
02-02-2015,12.35
CA-2015-139892,10539.896
08-09-2015,10539.896
CA-2015-140004,13.456
21-03-2015,13.456
CA-2015-140032,8.608
08-09-2015,8.608
CA-2015-140039,79.4
13-09-2015,79.4
CA-2015-140165,405.456
13-05-2015,405.456
CA-2015-140228,211.576
28-04-2015,211.576
CA-2015-140396,907.56
20-11-2015,907.56
CA-2015-140403,137.632
10-10-2015,137.632
CA-2015-140473,719.976
30-05-2015,719.976
CA-2015-140487,212.94
14-06-2015,212.94
CA-2015-140662,1075.37
17-11-2015,1075.37
CA-2015-140732,707.628
11-11-2015,707.628
CA-2015-140795,468.9
01-02-2015,468.9
CA-2015-140816,447.944
20-12-2015,447.944
CA-2015-140858,1639.711
28-06-2015,1639.711
CA-2015-140886,69.216
30-09-2015,69.216
CA-2015-141005,62.94
15-08-2015,62.94
CA-2015-141110,67.112
26-11-2015,67.112
CA-2015-141152,33.552
16-09-2015,33.552
CA-2015-141173,67.15
18-11-2015,67.15
CA-2015-141278,21.4
21-06-2015,21.4
CA-2015-141299,15.28
03-06-2015,15.28
CA-2015-141313,2583.19
28-12-2015,2583.19
CA-2015-141355,14.576
25-09-2015,14.576
CA-2015-141607,43.31
12-12-2015,43.31
CA-2015-141649,795.408
30-09-2015,795.408
CA-2015-141726,176.494
20-07-2015,176.494
CA-2015-141796,1214.85
21-06-2015,1214.85
CA-2015-141817,19.536
05-01-2015,19.536
CA-2015-141838,60.08
26-03-2015,60.08
CA-2015-141901,5.98
09-08-2015,5.98
CA-2015-142048,196.752
22-06-2015,196.752
CA-2015-142314,207.24
23-12-2015,207.24
CA-2015-142510,274.096
22-12-2015,274.096
CA-2015-142587,531.382
21-10-2015,531.382
CA-2015-142727,69.9
29-04-2015,69.9
CA-2015-142769,561.73
13-09-2015,561.73
CA-2015-142839,853.092
16-08-2015,853.092
CA-2015-142951,23.472
08-10-2015,23.472
CA-2015-142965,53.344
20-07-2015,53.344
CA-2015-143168,63.304
18-10-2015,63.304
CA-2015-143182,15.384
15-10-2015,15.384
CA-2015-143210,327.56
01-12-2015,327.56
CA-2015-143336,244.76
27-08-2015,244.76
CA-2015-143385,92.52
31-08-2015,92.52
CA-2015-143413,116.28
24-05-2015,116.28
CA-2015-143637,40.48
24-03-2015,40.48
CA-2015-143840,180.93
22-05-2015,180.93
CA-2015-143903,1340.976
20-07-2015,1340.976
CA-2015-143917,8319.29
25-07-2015,8319.29
CA-2015-144029,475.788
26-05-2015,475.788
CA-2015-144071,119.32
08-12-2015,119.32
CA-2015-144281,491.55
10-06-2015,491.55
CA-2015-144407,103.6
09-09-2015,103.6
CA-2015-144414,3290.516
17-06-2015,3290.516
CA-2015-144624,4548.81
19-11-2015,4548.81
CA-2015-144666,1517.574
09-11-2015,1517.574
CA-2015-144974,68.53
26-09-2015,68.53
CA-2015-145212,5.46
13-09-2015,5.46
CA-2015-145254,992.828
23-07-2015,992.828
CA-2015-145317,23661.228
18-03-2015,23661.228
CA-2015-145387,2116.506
31-10-2015,2116.506
CA-2015-145541,6999.96
14-12-2015,6999.96
CA-2015-145576,26.128
14-09-2015,26.128
CA-2015-145800,355.455
30-05-2015,355.455
CA-2015-145926,479.9
17-11-2015,479.9
CA-2015-146283,1166.716
08-09-2015,1166.716
CA-2015-146500,121.24
30-08-2015,121.24
CA-2015-146528,22
25-07-2015,22
CA-2015-146591,378.594
19-01-2015,378.594
CA-2015-146640,334.768
30-06-2015,334.768
CA-2015-146703,211.96
20-10-2015,211.96
CA-2015-146731,147.344
03-11-2015,147.344
CA-2015-146815,176.284
08-09-2015,176.284
CA-2015-146843,150.232
30-11-2015,150.232
CA-2015-146864,216.4
22-12-2015,216.4
CA-2015-146885,13.62
30-05-2015,13.62
CA-2015-146969,968.3
29-09-2015,968.3
CA-2015-146990,36.1
07-11-2015,36.1
CA-2015-147235,24.9
24-03-2015,24.9
CA-2015-147298,248.568
26-04-2015,248.568
CA-2015-147543,478.48
06-07-2015,478.48
CA-2015-147900,28.8
23-09-2015,28.8
CA-2015-147914,16.224
04-06-2015,16.224
CA-2015-148040,388.704
22-03-2015,388.704
CA-2015-148285,22.32
27-10-2015,22.32
CA-2015-148369,11.12
23-09-2015,11.12
CA-2015-148383,946.764
27-12-2015,946.764
CA-2015-148425,6.642
30-11-2015,6.642
CA-2015-148488,117.704
10-12-2015,117.704
CA-2015-148586,366.786
25-03-2015,366.786
CA-2015-148614,38.66
20-01-2015,38.66
CA-2015-148761,91.68
17-05-2015,91.68
CA-2015-148782,88.776
02-11-2015,88.776
CA-2015-148915,599.896
01-11-2015,599.896
CA-2015-148950,43.016
14-12-2015,43.016
CA-2015-149020,54.83
10-01-2015,54.83
CA-2015-149055,62.808
23-11-2015,62.808
CA-2015-149104,770.61
05-04-2015,770.61
CA-2015-149244,35.34
04-11-2015,35.34
CA-2015-149524,61.96
14-01-2015,61.96
CA-2015-149538,364.93
04-04-2015,364.93
CA-2015-149594,103.936
